Kannada,English
bhaaga,part
itihaasa,history
huduku,search
maatra,only
police,police
anisitu,thought
sahaaya,help
arji,request
bage,kind
tingalu,month
anna,brother
bidu,let
ekendare,because
haaku,to put
yaavudoo,no
hagga,leash
avaru,them
nagara,city
prati,each
maatanaadida,speak
bandidda,come
bekagiruttade,should
magu,baby
uddirgha kaala,long time
gantegaalu,hours
hoguttare,will
samayadalli,while
punaha noDoNa,meet again
enu illa,any
chowka,square
maataadu,speak
arthamaadikonDa,understood
tilididde,knew
iddaru,were
eccharike,warning
ido,here is
saadhyavittu,could
vyavahaara,case
kodu,give
prakaara,type
avara,their
niidida,given
railu,train
deha,body
sthala,place
kannugalu,eyes
reeti,way
keLu,listen
yaaradu,whose
huduku,find
modalaneya,first
kaLeduhoytu,lost
kai,hand
modalanedu,first
badiyalli,side
shakti,power
haleya,old
iru,be
ideo,here
beligge,morning
tumba,so much
magu,child
binduvu,point
bandiddaru,came
nantara,after
kshamisi,sorry
banni,come
eduru,in front of
direction,towards
nimishagalu,minutes
korida,requested
kothadi,bedroom
itta,placed
chennagiruva,beautiful
kaanoonu,law
ishtapaduve,would like to
indu,today
ganda,husband
kaarana,cause
ityaadiyagi,finally
aashepadduve,hope
neeru,water
nireekshisi,wait
hogiidda,left
hosadu,new
kelasa,job
nillisu,stop
helabahudu,would say
bhoomi,Earth
khaate,account
kotta,given
doora,far
antya,end
nambu,believe
priye,sweetheart
doddadu,large
badalige,rather
iruttade,will have
hudugiyaru,girls
aadalu,to play
kacheri,office
